,Trip ID,Dte Start,Dte End,Battery At Start,Battery At End,Dw Updated,Trip Approved Kilometer,Diff in bat,Diff in Dte
0,2402765.0,177,143,79,59,2023-11-17T13:18:45,34.599998474121,20,34
11,2414946.0,136,108,67,57,2023-11-21T04:43:34,28.8999996185302,10,28
16,2418999.0,182,157,87,80,2023-11-21T04:43:34,36.2000007629394,7,25
19,2419792.0,189,167,87,77,2023-11-21T04:43:34,53.7000007629394,10,22
30,2426429.0,199,181,94,86,2023-11-22T19:48:50,27.7000007629394,8,18
31,2425980.0,172,147,83,70,2023-11-22T19:48:50,35.099998474121,13,25
33,2429017.0,88,76,50,41,2023-11-23T01:48:49,32.7000007629394,9,12
58,2444608.0,227,169,99,88,2023-12-20T03:15:21,50.9000015258789,11,58
64,2448200.0,114,113,59,51,2023-12-19T21:15:22,33.8,8,1
69,2449622.0,172,171,88,79,2023-12-19T21:15:22,18.3,9,1
70,2451617.0,174,169,79,73,2023-12-19T21:15:22,28.0,6,5
74,2452261.0,161,140,68,62,2023-12-19T21:15:22,30.4,6,21
75,2454014.0,216,183,87,79,2023-12-19T21:15:22,37.7,8,33
78,2454878.0,192,166,91,81,2023-12-19T21:15:22,31.2,10,26
91,2460686.0,219,182,89,75,2023-12-27T01:31:16,31.5,14,37
95,2461291.0,134,72,65,37,2023-12-27T01:31:16,29.6,28,62
99,2466456.0,228,193,86,75,2024-01-28T23:48:18,49.9000015258789,11,35
102,2464753.0,154,135,66,52,2024-01-28T23:48:18,26.2000007629394,14,19
104,2468055.0,119,78,63,41,2024-01-28T23:48:18,32.8,22,41
107,2468498.0,155,97,65,49,2024-01-28T23:48:18,28.8,16,58
110,2469312.0,175,171,91,78,2024-01-28T23:48:18,29.7,13,4
111,2468876.0,146,80,67,41,2024-01-28T23:48:18,37.7,26,66
112,2469892.0,159,106,68,51,2024-01-28T23:48:18,34.6,17,53
113,2470249.0,153,108,71,52,2024-01-28T23:48:18,30.0,19,45
116,2471689.0,136,90,66,42,2024-01-28T23:48:18,50.599998474121,24,46
119,2471304.0,180,132,71,58,2024-01-28T23:48:18,21.2999992370605,13,48
121,2473188.0,164,109,69,48,2024-01-28T23:48:18,52.2,21,55
122,2473500.0,212,191,97,89,2024-01-28T23:48:18,14.0,8,21
124,2472801.0,191,137,74,59,2024-01-28T23:48:18,32.8,15,54
125,2474626.0,162,124,69,58,2024-01-28T23:48:18,26.4,11,38
126,2474888.0,147,137,69,60,2024-01-28T23:48:18,17.0,9,10
127,2474320.0,166,130,71,62,2024-01-28T23:48:18,19.8,9,36
131,2474123.0,178,128,79,60,2024-01-28T23:48:18,34.0,19,50
134,2476293.0,201,180,96,89,2024-01-28T23:48:18,10.6000003814697,7,21
135,2475954.0,160,125,71,60,2024-01-28T23:48:18,19.5,11,35
136,2475646.0,128,81,53,36,2024-01-28T23:48:18,32.9,17,47
137,2476515.0,152,150,81,67,2024-01-28T23:48:18,29.8999996185302,14,2
140,2477080.0,148,79,59,43,2024-01-28T23:48:18,29.8999996185302,16,69
141,2477475.0,147,69,64,33,2024-01-28T23:48:18,32.7,31,78
143,2478661.0,193,134,76,58,2024-01-28T23:48:18,30.3999996185302,18,59
145,2479935.0,124,116,66,60,2024-01-28T23:48:18,7.09999990463256,6,8
147,2481528.0,189,157,89,77,2024-01-28T23:48:18,32.099998474121,12,32
149,2480819.0,143,101,72,58,2024-01-28T23:48:18,30.7999992370605,14,42
150,2481203.0,130,107,65,49,2024-01-28T23:48:18,42.7999992370605,16,23
152,2482093.0,133,106,67,52,2024-01-28T23:48:18,31.5,15,27
154,2482837.0,193,167,92,86,2024-01-28T23:48:18,19.6000003814697,6,26
155,2482449.0,129,90,66,49,2024-01-28T23:48:18,28.6,17,39
156,2484512.0,183,159,85,73,2024-01-28T23:48:18,26.1,12,24
157,2483615.0,160,113,69,54,2024-01-28T23:48:18,29.5,15,47
158,2483941.0,118,69,58,31,2024-01-28T23:48:18,33.7,27,49
164,2485753.0,166,110,76,54,2024-01-28T23:48:18,35.9,22,56
165,2485327.0,160,113,67,52,2024-01-28T23:48:18,29.5,15,47
168,2486895.0,169,126,67,54,2024-01-28T23:48:18,24.2999992370605,13,43
169,2487577.0,261,252,96,86,2024-01-28T23:48:18,28.3,10,9
170,2487297.0,143,96,65,39,2024-01-28T23:48:18,53.7,26,47
173,2489084.0,208,147,95,83,2024-01-28T23:48:18,18.8999996185302,12,61
174,2488433.0,137,111,72,55,2024-01-28T23:48:18,32.7999992370605,17,26
175,2488269.0,206,128,77,60,2024-01-28T23:48:18,26.1000003814697,17,78
177,2489959.0,166,129,83,71,2024-02-08T12:45:52,22.4,12,37
179,2489730.0,145,119,73,59,2024-02-08T12:45:52,24.4,14,26
182,2491243.0,159,106,67,49,2024-02-08T12:45:52,34.9000015258789,18,53
183,2491938.0,208,173,90,84,2024-02-08T12:45:52,13.8,6,35
184,2491633.0,155,110,75,58,2024-02-08T12:45:52,29.1,17,45
186,2493402.0,249,189,89,80,2024-01-29T00:20:38,18.0,9,60
189,2494460.0,143,104,65,49,2024-02-08T12:45:52,34.4000015258789,16,39
191,2494169.0,217,190,95,89,2024-02-08T12:45:52,11.5,6,27
192,2494274.0,160,136,80,72,2024-02-08T12:45:52,18.8999996185302,8,24
193,2494699.0,132,99,65,45,2024-02-08T12:45:52,39.5,20,33
194,2495940.0,142,97,70,50,2024-02-08T18:45:51,32.5,20,45
195,2496416.0,214,176,95,84,2024-02-08T18:45:51,21.2999992370605,11,38
196,2495555.0,130,95,66,48,2024-02-08T18:45:51,28.2999992370605,18,35
199,2497021.0,172,126,79,61,2024-02-09T08:00:09,32.0,18,46
201,2497412.0,119,87,60,47,2024-02-09T08:00:09,19.1000003814697,13,32
203,2402765.0,177,143,79,59,2023-11-17T13:18:45,34.599998474121,20,34
214,2414946.0,136,108,67,57,2023-11-21T04:43:34,28.8999996185302,10,28
219,2418999.0,182,157,87,80,2023-11-21T04:43:34,36.2000007629394,7,25
222,2419792.0,189,167,87,77,2023-11-21T04:43:34,53.7000007629394,10,22
233,2426429.0,199,181,94,86,2023-11-22T19:48:50,27.7000007629394,8,18
234,2425980.0,172,147,83,70,2023-11-22T19:48:50,35.099998474121,13,25
236,2429017.0,88,76,50,41,2023-11-23T01:48:49,32.7000007629394,9,12
261,2444608.0,227,169,99,88,2023-12-20T03:15:21,50.9000015258789,11,58
267,2448200.0,114,113,59,51,2023-12-19T21:15:22,33.8,8,1
272,2449622.0,172,171,88,79,2023-12-19T21:15:22,18.3,9,1
273,2451617.0,174,169,79,73,2023-12-19T21:15:22,28.0,6,5
277,2452261.0,161,140,68,62,2023-12-19T21:15:22,30.4,6,21
278,2454014.0,216,183,87,79,2023-12-19T21:15:22,37.7,8,33
281,2454878.0,192,166,91,81,2023-12-19T21:15:22,31.2,10,26
294,2460686.0,219,182,89,75,2023-12-27T01:31:16,31.5,14,37
298,2461291.0,134,72,65,37,2023-12-27T01:31:16,29.6,28,62
302,2466456.0,228,193,86,75,2024-01-28T23:48:18,49.9000015258789,11,35
305,2464753.0,154,135,66,52,2024-01-28T23:48:18,26.2000007629394,14,19
307,2468055.0,119,78,63,41,2024-01-28T23:48:18,32.8,22,41
310,2468498.0,155,97,65,49,2024-01-28T23:48:18,28.8,16,58
313,2469312.0,175,171,91,78,2024-01-28T23:48:18,29.7,13,4
314,2468876.0,146,80,67,41,2024-01-28T23:48:18,37.7,26,66
315,2469892.0,159,106,68,51,2024-01-28T23:48:18,34.6,17,53
316,2470249.0,153,108,71,52,2024-01-28T23:48:18,30.0,19,45
319,2471689.0,136,90,66,42,2024-01-28T23:48:18,50.599998474121,24,46
322,2471304.0,180,132,71,58,2024-01-28T23:48:18,21.2999992370605,13,48
324,2473188.0,164,109,69,48,2024-01-28T23:48:18,52.2,21,55
325,2473500.0,212,191,97,89,2024-01-28T23:48:18,14.0,8,21
327,2472801.0,191,137,74,59,2024-01-28T23:48:18,32.8,15,54
328,2474626.0,162,124,69,58,2024-01-28T23:48:18,26.4,11,38
329,2474888.0,147,137,69,60,2024-01-28T23:48:18,17.0,9,10
330,2474320.0,166,130,71,62,2024-01-28T23:48:18,19.8,9,36
334,2474123.0,178,128,79,60,2024-01-28T23:48:18,34.0,19,50
337,2476293.0,201,180,96,89,2024-01-28T23:48:18,10.6000003814697,7,21
338,2475954.0,160,125,71,60,2024-01-28T23:48:18,19.5,11,35
339,2475646.0,128,81,53,36,2024-01-28T23:48:18,32.9,17,47
340,2476515.0,152,150,81,67,2024-01-28T23:48:18,29.8999996185302,14,2
343,2477080.0,148,79,59,43,2024-01-28T23:48:18,29.8999996185302,16,69
344,2477475.0,147,69,64,33,2024-01-28T23:48:18,32.7,31,78
346,2478661.0,193,134,76,58,2024-01-28T23:48:18,30.3999996185302,18,59
348,2479935.0,124,116,66,60,2024-01-28T23:48:18,7.09999990463256,6,8
350,2481528.0,189,157,89,77,2024-01-28T23:48:18,32.099998474121,12,32
352,2480819.0,143,101,72,58,2024-01-28T23:48:18,30.7999992370605,14,42
353,2481203.0,130,107,65,49,2024-01-28T23:48:18,42.7999992370605,16,23
355,2482093.0,133,106,67,52,2024-01-28T23:48:18,31.5,15,27
357,2482837.0,193,167,92,86,2024-01-28T23:48:18,19.6000003814697,6,26
358,2482449.0,129,90,66,49,2024-01-28T23:48:18,28.6,17,39
359,2484512.0,183,159,85,73,2024-01-28T23:48:18,26.1,12,24
360,2483615.0,160,113,69,54,2024-01-28T23:48:18,29.5,15,47
361,2483941.0,118,69,58,31,2024-01-28T23:48:18,33.7,27,49
367,2485753.0,166,110,76,54,2024-01-28T23:48:18,35.9,22,56
368,2485327.0,160,113,67,52,2024-01-28T23:48:18,29.5,15,47
371,2486895.0,169,126,67,54,2024-01-28T23:48:18,24.2999992370605,13,43
372,2487577.0,261,252,96,86,2024-01-28T23:48:18,28.3,10,9
373,2487297.0,143,96,65,39,2024-01-28T23:48:18,53.7,26,47
376,2489084.0,208,147,95,83,2024-01-28T23:48:18,18.8999996185302,12,61
377,2488433.0,137,111,72,55,2024-01-28T23:48:18,32.7999992370605,17,26
378,2488269.0,206,128,77,60,2024-01-28T23:48:18,26.1000003814697,17,78
380,2489959.0,166,129,83,71,2024-02-08T12:45:52,22.4,12,37
382,2489730.0,145,119,73,59,2024-02-08T12:45:52,24.4,14,26
385,2491243.0,159,106,67,49,2024-02-08T12:45:52,34.9000015258789,18,53
386,2491938.0,208,173,90,84,2024-02-08T12:45:52,13.8,6,35
387,2491633.0,155,110,75,58,2024-02-08T12:45:52,29.1,17,45
389,2493402.0,249,189,89,80,2024-01-29T00:20:38,18.0,9,60
392,2494460.0,143,104,65,49,2024-02-08T12:45:52,34.4000015258789,16,39
394,2494169.0,217,190,95,89,2024-02-08T12:45:52,11.5,6,27
395,2494274.0,160,136,80,72,2024-02-08T12:45:52,18.8999996185302,8,24
396,2494699.0,132,99,65,45,2024-02-08T12:45:52,39.5,20,33
397,2495940.0,142,97,70,50,2024-02-08T18:45:51,32.5,20,45
398,2496416.0,214,176,95,84,2024-02-08T18:45:51,21.2999992370605,11,38
399,2495555.0,130,95,66,48,2024-02-08T18:45:51,28.2999992370605,18,35
402,2497021.0,172,126,79,61,2024-02-09T08:00:09,32.0,18,46
404,2497412.0,119,87,60,47,2024-02-09T08:00:09,19.1000003814697,13,32
406,2402765.0,177,143,79,59,2023-11-17T13:18:45,34.599998474121,20,34
417,2414946.0,136,108,67,57,2023-11-21T04:43:34,28.8999996185302,10,28
422,2418999.0,182,157,87,80,2023-11-21T04:43:34,36.2000007629394,7,25
425,2419792.0,189,167,87,77,2023-11-21T04:43:34,53.7000007629394,10,22
436,2426429.0,199,181,94,86,2023-11-22T19:48:50,27.7000007629394,8,18
437,2425980.0,172,147,83,70,2023-11-22T19:48:50,35.099998474121,13,25
439,2429017.0,88,76,50,41,2023-11-23T01:48:49,32.7000007629394,9,12
464,2444608.0,227,169,99,88,2023-12-20T03:15:21,50.9000015258789,11,58
470,2448200.0,114,113,59,51,2023-12-19T21:15:22,33.8,8,1
475,2449622.0,172,171,88,79,2023-12-19T21:15:22,18.3,9,1
476,2451617.0,174,169,79,73,2023-12-19T21:15:22,28.0,6,5
480,2452261.0,161,140,68,62,2023-12-19T21:15:22,30.4,6,21
481,2454014.0,216,183,87,79,2023-12-19T21:15:22,37.7,8,33
484,2454878.0,192,166,91,81,2023-12-19T21:15:22,31.2,10,26
497,2460686.0,219,182,89,75,2023-12-27T01:31:16,31.5,14,37
501,2461291.0,134,72,65,37,2023-12-27T01:31:16,29.6,28,62
505,2466456.0,228,193,86,75,2024-01-28T23:48:18,49.9000015258789,11,35
508,2464753.0,154,135,66,52,2024-01-28T23:48:18,26.2000007629394,14,19
510,2468055.0,119,78,63,41,2024-01-28T23:48:18,32.8,22,41
513,2468498.0,155,97,65,49,2024-01-28T23:48:18,28.8,16,58
516,2469312.0,175,171,91,78,2024-01-28T23:48:18,29.7,13,4
517,2468876.0,146,80,67,41,2024-01-28T23:48:18,37.7,26,66
518,2469892.0,159,106,68,51,2024-01-28T23:48:18,34.6,17,53
519,2470249.0,153,108,71,52,2024-01-28T23:48:18,30.0,19,45
522,2471689.0,136,90,66,42,2024-01-28T23:48:18,50.599998474121,24,46
525,2471304.0,180,132,71,58,2024-01-28T23:48:18,21.2999992370605,13,48
527,2473188.0,164,109,69,48,2024-01-28T23:48:18,52.2,21,55
528,2473500.0,212,191,97,89,2024-01-28T23:48:18,14.0,8,21
530,2472801.0,191,137,74,59,2024-01-28T23:48:18,32.8,15,54
531,2474626.0,162,124,69,58,2024-01-28T23:48:18,26.4,11,38
532,2474888.0,147,137,69,60,2024-01-28T23:48:18,17.0,9,10
533,2474320.0,166,130,71,62,2024-01-28T23:48:18,19.8,9,36
537,2474123.0,178,128,79,60,2024-01-28T23:48:18,34.0,19,50
540,2476293.0,201,180,96,89,2024-01-28T23:48:18,10.6000003814697,7,21
541,2475954.0,160,125,71,60,2024-01-28T23:48:18,19.5,11,35
542,2475646.0,128,81,53,36,2024-01-28T23:48:18,32.9,17,47
543,2476515.0,152,150,81,67,2024-01-28T23:48:18,29.8999996185302,14,2
546,2477080.0,148,79,59,43,2024-01-28T23:48:18,29.8999996185302,16,69
547,2477475.0,147,69,64,33,2024-01-28T23:48:18,32.7,31,78
549,2478661.0,193,134,76,58,2024-01-28T23:48:18,30.3999996185302,18,59
551,2479935.0,124,116,66,60,2024-01-28T23:48:18,7.09999990463256,6,8
553,2481528.0,189,157,89,77,2024-01-28T23:48:18,32.099998474121,12,32
555,2480819.0,143,101,72,58,2024-01-28T23:48:18,30.7999992370605,14,42
556,2481203.0,130,107,65,49,2024-01-28T23:48:18,42.7999992370605,16,23
558,2482093.0,133,106,67,52,2024-01-28T23:48:18,31.5,15,27
560,2482837.0,193,167,92,86,2024-01-28T23:48:18,19.6000003814697,6,26
561,2482449.0,129,90,66,49,2024-01-28T23:48:18,28.6,17,39
562,2484512.0,183,159,85,73,2024-01-28T23:48:18,26.1,12,24
563,2483615.0,160,113,69,54,2024-01-28T23:48:18,29.5,15,47
564,2483941.0,118,69,58,31,2024-01-28T23:48:18,33.7,27,49
570,2485753.0,166,110,76,54,2024-01-28T23:48:18,35.9,22,56
571,2485327.0,160,113,67,52,2024-01-28T23:48:18,29.5,15,47
574,2486895.0,169,126,67,54,2024-01-28T23:48:18,24.2999992370605,13,43
575,2487577.0,261,252,96,86,2024-01-28T23:48:18,28.3,10,9
576,2487297.0,143,96,65,39,2024-01-28T23:48:18,53.7,26,47
579,2489084.0,208,147,95,83,2024-01-28T23:48:18,18.8999996185302,12,61
580,2488433.0,137,111,72,55,2024-01-28T23:48:18,32.7999992370605,17,26
581,2488269.0,206,128,77,60,2024-01-28T23:48:18,26.1000003814697,17,78
583,2489959.0,166,129,83,71,2024-02-08T12:45:52,22.4,12,37
585,2489730.0,145,119,73,59,2024-02-08T12:45:52,24.4,14,26
588,2491243.0,159,106,67,49,2024-02-08T12:45:52,34.9000015258789,18,53
589,2491938.0,208,173,90,84,2024-02-08T12:45:52,13.8,6,35
590,2491633.0,155,110,75,58,2024-02-08T12:45:52,29.1,17,45
592,2493402.0,249,189,89,80,2024-01-29T00:20:38,18.0,9,60
595,2494460.0,143,104,65,49,2024-02-08T12:45:52,34.4000015258789,16,39
597,2494169.0,217,190,95,89,2024-02-08T12:45:52,11.5,6,27
598,2494274.0,160,136,80,72,2024-02-08T12:45:52,18.8999996185302,8,24
599,2494699.0,132,99,65,45,2024-02-08T12:45:52,39.5,20,33
600,2495940.0,142,97,70,50,2024-02-08T18:45:51,32.5,20,45
601,2496416.0,214,176,95,84,2024-02-08T18:45:51,21.2999992370605,11,38
602,2495555.0,130,95,66,48,2024-02-08T18:45:51,28.2999992370605,18,35
605,2497021.0,172,126,79,61,2024-02-09T08:00:09,32.0,18,46
607,2497412.0,119,87,60,47,2024-02-09T08:00:09,19.1000003814697,13,32
609,2402765.0,177,143,79,59,2023-11-17T13:18:45,34.599998474121,20,34
620,2414946.0,136,108,67,57,2023-11-21T04:43:34,28.8999996185302,10,28
625,2418999.0,182,157,87,80,2023-11-21T04:43:34,36.2000007629394,7,25
628,2419792.0,189,167,87,77,2023-11-21T04:43:34,53.7000007629394,10,22
639,2426429.0,199,181,94,86,2023-11-22T19:48:50,27.7000007629394,8,18
640,2425980.0,172,147,83,70,2023-11-22T19:48:50,35.099998474121,13,25
642,2429017.0,88,76,50,41,2023-11-23T01:48:49,32.7000007629394,9,12
667,2444608.0,227,169,99,88,2023-12-20T03:15:21,50.9000015258789,11,58
673,2448200.0,114,113,59,51,2023-12-19T21:15:22,33.8,8,1
678,2449622.0,172,171,88,79,2023-12-19T21:15:22,18.3,9,1
679,2451617.0,174,169,79,73,2023-12-19T21:15:22,28.0,6,5
683,2452261.0,161,140,68,62,2023-12-19T21:15:22,30.4,6,21
684,2454014.0,216,183,87,79,2023-12-19T21:15:22,37.7,8,33
687,2454878.0,192,166,91,81,2023-12-19T21:15:22,31.2,10,26
700,2460686.0,219,182,89,75,2023-12-27T01:31:16,31.5,14,37
704,2461291.0,134,72,65,37,2023-12-27T01:31:16,29.6,28,62
708,2466456.0,228,193,86,75,2024-01-28T23:48:18,49.9000015258789,11,35
711,2464753.0,154,135,66,52,2024-01-28T23:48:18,26.2000007629394,14,19
713,2468055.0,119,78,63,41,2024-01-28T23:48:18,32.8,22,41
716,2468498.0,155,97,65,49,2024-01-28T23:48:18,28.8,16,58
719,2469312.0,175,171,91,78,2024-01-28T23:48:18,29.7,13,4
720,2468876.0,146,80,67,41,2024-01-28T23:48:18,37.7,26,66
721,2469892.0,159,106,68,51,2024-01-28T23:48:18,34.6,17,53
722,2470249.0,153,108,71,52,2024-01-28T23:48:18,30.0,19,45
725,2471689.0,136,90,66,42,2024-01-28T23:48:18,50.599998474121,24,46
728,2471304.0,180,132,71,58,2024-01-28T23:48:18,21.2999992370605,13,48
730,2473188.0,164,109,69,48,2024-01-28T23:48:18,52.2,21,55
731,2473500.0,212,191,97,89,2024-01-28T23:48:18,14.0,8,21
733,2472801.0,191,137,74,59,2024-01-28T23:48:18,32.8,15,54
734,2474626.0,162,124,69,58,2024-01-28T23:48:18,26.4,11,38
735,2474888.0,147,137,69,60,2024-01-28T23:48:18,17.0,9,10
736,2474320.0,166,130,71,62,2024-01-28T23:48:18,19.8,9,36
740,2474123.0,178,128,79,60,2024-01-28T23:48:18,34.0,19,50
743,2476293.0,201,180,96,89,2024-01-28T23:48:18,10.6000003814697,7,21
744,2475954.0,160,125,71,60,2024-01-28T23:48:18,19.5,11,35
745,2475646.0,128,81,53,36,2024-01-28T23:48:18,32.9,17,47
746,2476515.0,152,150,81,67,2024-01-28T23:48:18,29.8999996185302,14,2
749,2477080.0,148,79,59,43,2024-01-28T23:48:18,29.8999996185302,16,69
750,2477475.0,147,69,64,33,2024-01-28T23:48:18,32.7,31,78
752,2478661.0,193,134,76,58,2024-01-28T23:48:18,30.3999996185302,18,59
754,2479935.0,124,116,66,60,2024-01-28T23:48:18,7.09999990463256,6,8
756,2481528.0,189,157,89,77,2024-01-28T23:48:18,32.099998474121,12,32
758,2480819.0,143,101,72,58,2024-01-28T23:48:18,30.7999992370605,14,42
759,2481203.0,130,107,65,49,2024-01-28T23:48:18,42.7999992370605,16,23
761,2482093.0,133,106,67,52,2024-01-28T23:48:18,31.5,15,27
763,2482837.0,193,167,92,86,2024-01-28T23:48:18,19.6000003814697,6,26
764,2482449.0,129,90,66,49,2024-01-28T23:48:18,28.6,17,39
765,2484512.0,183,159,85,73,2024-01-28T23:48:18,26.1,12,24
766,2483615.0,160,113,69,54,2024-01-28T23:48:18,29.5,15,47
767,2483941.0,118,69,58,31,2024-01-28T23:48:18,33.7,27,49
773,2485753.0,166,110,76,54,2024-01-28T23:48:18,35.9,22,56
774,2485327.0,160,113,67,52,2024-01-28T23:48:18,29.5,15,47
777,2486895.0,169,126,67,54,2024-01-28T23:48:18,24.2999992370605,13,43
778,2487577.0,261,252,96,86,2024-01-28T23:48:18,28.3,10,9
779,2487297.0,143,96,65,39,2024-01-28T23:48:18,53.7,26,47
782,2489084.0,208,147,95,83,2024-01-28T23:48:18,18.8999996185302,12,61
783,2488433.0,137,111,72,55,2024-01-28T23:48:18,32.7999992370605,17,26
784,2488269.0,206,128,77,60,2024-01-28T23:48:18,26.1000003814697,17,78
786,2489959.0,166,129,83,71,2024-02-08T12:45:52,22.4,12,37
788,2489730.0,145,119,73,59,2024-02-08T12:45:52,24.4,14,26
791,2491243.0,159,106,67,49,2024-02-08T12:45:52,34.9000015258789,18,53
792,2491938.0,208,173,90,84,2024-02-08T12:45:52,13.8,6,35
793,2491633.0,155,110,75,58,2024-02-08T12:45:52,29.1,17,45
795,2493402.0,249,189,89,80,2024-01-29T00:20:38,18.0,9,60
798,2494460.0,143,104,65,49,2024-02-08T12:45:52,34.4000015258789,16,39
800,2494169.0,217,190,95,89,2024-02-08T12:45:52,11.5,6,27
801,2494274.0,160,136,80,72,2024-02-08T12:45:52,18.8999996185302,8,24
802,2494699.0,132,99,65,45,2024-02-08T12:45:52,39.5,20,33
803,2495940.0,142,97,70,50,2024-02-08T18:45:51,32.5,20,45
804,2496416.0,214,176,95,84,2024-02-08T18:45:51,21.2999992370605,11,38
805,2495555.0,130,95,66,48,2024-02-08T18:45:51,28.2999992370605,18,35
808,2497021.0,172,126,79,61,2024-02-09T08:00:09,32.0,18,46
810,2497412.0,119,87,60,47,2024-02-09T08:00:09,19.1000003814697,13,32
